"OSM_ID";"time";"Speed";"GPS.Bearing"
293797100;2013-07-02 06:09:15;33;0
293797100;2013-07-02 06:09:21;57;0
293797100;2013-07-02 06:09:27;42;0
293797100;2013-07-02 06:09:33;45;0
293797100;2013-07-02 06:09:39;48;0
293797100;2013-07-02 06:09:45;47;0
293797100;2013-07-02 06:09:51;47;0
293797100;2013-07-02 06:09:57;15;0
293797100;2013-07-02 06:10:28;15;0
293797100;2013-07-02 06:10:34;44;0
293797100;2013-07-02 06:10:40;52;0
293797100;2013-07-02 06:10:46;52;0
293797100;2013-07-02 06:10:52;44;0
293797100;2013-07-02 06:10:58;30;0
293797100;2013-07-02 06:11:04;33;0
293797100;2013-07-02 06:11:10;44;0
293797100;2013-07-02 06:11:16;46;0
293797100;2013-07-02 06:11:23;36;0
293797100;2013-07-02 06:11:29;9;0
293797100;2013-07-02 06:11:47;24;0
293797100;2013-07-02 06:11:53;21;0
293797100;2013-07-02 06:11:59;2;0
293797100;2013-07-02 06:12:05;20;0
293797100;2013-07-02 06:12:11;29;0
293797100;2013-07-02 06:12:17;12;0
293797100;2013-07-02 06:12:23;15;0
293797100;2013-07-02 06:12:30;8;0
293797100;2013-07-02 06:12:36;16;0
293797100;2013-07-02 06:12:42;8;0
293797100;2013-07-02 06:12:48;1;0
293797100;2013-07-02 06:12:54;3;0
293797100;2013-07-02 06:39:45;5;0
293797100;2013-07-02 06:39:51;23;0
293797100;2013-07-02 06:39:57;18;0
293797100;2013-07-02 06:40:04;7;0
293797100;2013-07-02 06:40:10;20;0
293797100;2013-07-02 06:40:16;16;0
293797100;2013-07-02 06:40:22;12;0
293797100;2013-07-02 06:40:28;26;0
293797100;2013-07-02 06:40:34;26;0
293797100;2013-07-02 06:40:40;9;0
293797100;2013-07-02 06:40:46;23;0
293797100;2013-07-02 06:40:52;14;0
293797100;2013-07-02 06:40:58;11;0
293797100;2013-07-02 06:41:04;29;0
293797100;2013-07-02 06:41:10;20;0
293797100;2013-07-02 06:41:17;4;0
293797100;2013-07-02 06:41:23;37;0
293797100;2013-07-02 06:41:29;33;0
293797100;2013-07-02 06:41:35;39;0
293797100;2013-07-02 06:41:41;41;0
293797100;2013-07-02 06:41:47;50;0
293797100;2013-07-02 06:41:53;56;0
293797100;2013-07-02 06:41:59;59;0
293797100;2013-07-02 06:42:05;64;0
293797100;2013-07-02 06:42:11;59;0
293797100;2013-07-02 06:42:17;54;0
293797100;2013-07-02 06:42:24;54;0
293797100;2013-07-02 06:42:30;51;0
293797100;2013-07-02 06:42:36;26;0
293797100;2013-07-02 06:42:42;31;0
293797100;2013-07-02 06:42:48;33;0
293797100;2013-07-02 06:42:54;13;0
293797100;2013-07-02 06:43:00;31;0
293797100;2013-07-02 06:43:06;32;0
293797100;2013-07-02 06:43:12;26;0
293797100;2013-07-02 06:43:18;39;0
293797100;2013-07-02 06:43:24;22;0
293797100;2013-07-02 06:43:30;26;0
293797100;2013-07-02 06:43:36;20;0
293797100;2013-07-02 06:43:43;14;0
293797100;2013-07-02 06:43:49;30;0
293797100;2013-07-02 06:43:55;37;0
293797100;2013-07-02 06:44:01;34;0
293797100;2013-07-02 06:44:07;16;0
293797100;2013-07-02 06:44:13;35;0
293797100;2013-07-02 06:44:19;56;0
174694299;2013-07-02 06:44:25;55;0
191071854;2013-07-02 06:44:31;53;0
174694299;2013-07-02 06:44:37;44;0
259747090;2013-07-02 06:44:43;23;0
